--------- beginning of main
09-02 17:27:17.722 14031 14031 E adbd    : recv: OPEN 0002479e 00000000 0086:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 63 6F 6D 2E 6F 70 65 72 61 2E 62 72 6F 77 73 65 72 2F 63 6F 6D 2E 6F 70 65 72 61 2E 4F 70 65 72 61 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 17:27:17.722 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n com.opera.browser/com.opera.Opera --activity-clear-task
09-02 17:27:17.911  7881  6454 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 17:27:17.911  7881  6454 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 17:27:17.911  7881  6454 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 17:27:17.911  7881  6454 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 17:27:17.914  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 5b13fb45-23a7-4970-ae9a-95b3fc5c523f contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2a00 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2a00 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 17:27:17.966  7881  8242 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 17:27:17.966  7881  8242 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 17:27:17.966  7881  8242 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 17:27:17.967  7881  8242 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 17:27:17.967  7881  8242 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 17:27:17.967  7881  8242 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 17:27:17.967  7881  8242 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 17:27:17.976  7881  8242 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 17:27:17.976  7881  8242 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 17:27:17.979  3449  3449 I android.hardware.wifi@1.0-service: getLinkLayerStats
09-02 17:27:18.089  3979  4672 I ActivityManager: START u0 {act=android.intent.action.VIEW typ=null flg=0x10008000 cmp=ComponentInfo{com.opera.browser/com.opera.Opera}} from uid 2000
09-02 17:27:18.093  3979  4672 D CustomFrequencyManagerService: acquireDVFSLockLocked : type : DVFS_MIN_LIMIT  frequency : 1560000  uid : 1000  pid : 3979  pkgName : AMS_APP_SWITCH@CPU_MIN@23
09-02 17:27:18.098  3979  4672 D ActivityManagerPerformance: AMP_acquire() APP_SWITCH
09-02 17:27:18.098  3979  5035 D ActivityManagerPerformance: Received MSG_CFMS_HINT_AMS_SWITCH pkgName: com.opera.browser
09-02 17:27:18.109  3979  5968 D ActivityManager: isScaleDownAnimationEnabled() : false
09-02 17:27:18.110  3979  5968 D StorageManagerService: getExternalStorageMountMode : 1
09-02 17:27:18.110  3979  5968 D StorageManagerService: getExternalStorageMountMode : 3
09-02 17:27:18.110  3979  5968 D StorageManagerService: getExternalStorageMountMode : final mountMode=1, uid : 10158, packageName : com.opera.browser
09-02 17:27:18.111  3979  5968 I ApplicationPolicy: isApplicationExternalStorageWhitelisted:com.opera.browser user:0
09-02 17:27:18.111  3979  5968 D ApplicationPolicy: isApplicationExternalStorageWhitelisted: DO is not enabled on user 0. Allowed.
09-02 17:27:18.111  3979  5968 D ActivityManager: package  com.opera.browser, user - 0 is SDcard whitelisted
09-02 17:27:18.111  3979  5968 I ApplicationPolicy: isApplicationExternalStorageBlacklisted:com.opera.browser user:0
09-02 17:27:18.111  3979  5968 D ApplicationPolicy: isApplicationExternalStorageBlacklisted: DO is not enabled on user 0. Allowed.
09-02 17:27:18.114  3979  4046 D ViewRootImpl@94516b6[browser]: setView = DecorView@c07e324[browser] TM=true MM=false
09-02 17:27:18.120  3979  5968 I ActivityManager: Start proc 6534:com.opera.browser/u0a158 for activity com.opera.browser/com.opera.Opera
09-02 17:27:18.120  6534  6534 E Zygote  : isWhitelistProcess - Process is Whitelisted
09-02 17:27:18.120  6534  6534 E libpersona: scanKnoxPersonas
09-02 17:27:18.120  6534  6534 E libpersona: Couldn't open the File - /data/system/users/0/personalist.xml - No such file or directory
09-02 17:27:18.122  6534  6534 W SELinux : SELinux selinux_android_compute_policy_index : Policy Index[2],  Con:u:r:zygote:s0 RAM:SEPF_SM-J720F_8.0.0_0017, [-1 -1 -1 -1 0 1]
09-02 17:27:18.123  6534  6534 I SELinux : SELinux: seapp_context_lookup: seinfo=untrusted, level=s0:c512,c768, pkgname=com.opera.browser 
09-02 17:27:18.129  3979  4046 D ViewRootImpl@94516b6[browser]: dispatchAttachedToWindow
09-02 17:27:18.130  3979  4046 V WindowManager: Relayout Window{61a4fb7 u0 Splash Screen com.opera.browser}: viewVisibility=0 req=719x1237 WM.LayoutParams{(0,0)(fillxfill) sim=#20 ty=3 fl=#89830118 pfl=0x20011 wanim=0x10302fd vsysui=0x2700 needsMenuKey=2 colorMode=0 naviIconColor=0}
09-02 17:27:18.133  3462  3462 I SurfaceFlinger: id=3477 createSurf (720x1280),1 flag=404, Splash Screen com.opera.browser#0
09-02 17:27:18.135  3979  4046 V Surface : sf_framedrop debug : 0x4f4c, game : false, logging : 0
09-02 17:27:18.138  3979  4046 D InputDispatcher: Focus left window: 6480
09-02 17:27:18.139  3979  4046 D ViewRootImpl@94516b6[browser]: Relayout returned: old=[0,0][0,0] new=[0,0][720,1280] result=0x7 surface={valid=true 535409381376} changed=true
09-02 17:27:18.140  6534  6534 D TimaKeyStoreProvider: TimaKeyStore is not enabled: cannot add TimaSignature Service and generateKeyPair Service
09-02 17:27:18.140  3979  4046 D ViewRootImpl@94516b6[browser]: MSG_RESIZED_REPORT: frame=Rect(0, 0 - 720, 1280) ci=Rect(0, 42 - 0, 0) vi=Rect(0, 42 - 0, 0) or=1
09-02 17:27:18.141  6534  6534 D ActivityThread: Added TimaKeyStore provider
09-02 17:27:18.141  6480  6480 D ViewRootImpl@110cd72[MainActivity]: MSG_WINDOW_FOCUS_CHANGED 0
09-02 17:27:18.143  3979  5968 I ActivityManager: DSS on for com.opera.browser and scale is 1.0
09-02 17:27:18.153  3979  4046 V WindowManager: finishDrawingLocked: mDrawState=COMMIT_DRAW_PENDING Window{61a4fb7 u0 Splash Screen com.opera.browser} in Surface(name=Splash Screen com.opera.browser)
09-02 17:27:18.154  3979  5968 D PersonaManagerService: Current focused persona service handled id set to : 0
09-02 17:27:18.155  3979  5968 D InputDispatcher: Focused application set to: xxxx
09-02 17:27:18.157  3979  4238 D GameManagerService: handleForegroundChange(). pkgName: com.opera.browser, clsName: com.opera.android.BrowserActivity,FgActivityName:com.opera.browser/com.opera.android.BrowserActivity
09-02 17:27:18.157  3979  5968 D MARsPolicyManager: onPackageResumedFG pkgName = com.opera.browser, userId = 0
09-02 17:27:18.157  3979  4238 D GameManagerService: sem_perfomance_mode: 3
09-02 17:27:18.157  3979  4238 D GameManagerService: notifyResumePause(). pkg: com.opera.browser, type: 4, isMinimized: false, isTunableApp: false
09-02 17:27:18.157  3979  4238 D GameManagerService:   notifyResumePause(). unexpected mPrevNotiType: -1
09-02 17:27:18.166  6480  6497 D OpenGLRenderer: eglDestroySurface = 0x7cc1bf64c0
09-02 17:27:18.166  3462  3462 V Surface : sf_framedrop debug : 0x4f4c, game : false, logging : 0
09-02 17:27:18.177  3979  5968 D TaskSnapshotCache: putSnapshot mTaskId=995 RunningCache size=4
09-02 17:27:18.182  3979 10224 V WindowManager: Relayout Window{7f84ae1 u0 com.example.batterymanager_utility/com.example.batterymanager_utility.MainActivity}: viewVisibility=8 req=720x1280 WM.LayoutParams{(0,0)(fillxfill) sim=#120 ty=1 fl=#81810100 pfl=0x20000 wanim=0x10302fd vsysui=0x600 needsMenuKey=2 colorMode=0 naviIconColor=0}
09-02 17:27:18.190  6480  6480 D ViewRootImpl@110cd72[MainActivity]: Relayout returned: old=[0,0][720,1280] new=[0,0][720,1280] result=0x5 surface={valid=false 0} changed=true
09-02 17:27:18.193  3979  6899 D GamePkgDataHelper: getGamePkgDataIncServer(). com.opera.browser
09-02 17:27:18.193  3979  6899 D GameManagerService: identifyGamePackage. com.opera.browser
09-02 17:27:18.194  3979  6899 D GamePkgDataHelper: getGamePkgData(). com.opera.browser
09-02 17:27:18.194  3979  3996 D WindowManager: set systemUiVisibility : systemUiFlags= 0x2708 fullscreenStackSysUiFlags= 0x2000
09-02 17:27:18.194  3979  6899 D GameManagerService: identifyGamePackage. com.opera.browser
09-02 17:27:18.194  3979  6899 D GamePkgDataHelper: getGamePkgData(). com.opera.browser
09-02 17:27:18.194  3979  6899 D GamePkgDataHelper: getSosPolicy(). com.opera.browser
09-02 17:27:18.198  3979  4672 D WindowManager: adjustSystemUiVisibilityLw : vis= 0x2708
09-02 17:27:18.198  3979  6899 D GameManagerService: identifyGamePackage. com.opera.browser
09-02 17:27:18.198  3979  6899 D GamePkgDataHelper: getGamePkgData(). com.opera.browser
09-02 17:27:18.199  6534  6534 I zygote  : no shared libraies, dex_files: 1
09-02 17:27:18.199  3979  6899 D GameManagerService: identifyGamePackage. com.opera.browser
09-02 17:27:18.200  3979  6899 D GamePkgDataHelper: getGamePkgData(). com.opera.browser
09-02 17:27:18.200  3462  3462 I SurfaceFlinger: Display 0 HWC layers:
09-02 17:27:18.200  3462  3462 I SurfaceFlinger:     type    |    handle    | flag |  format   |   source crop (l,t,r,b)    |         frame       | name 
09-02 17:27:18.200  3462  3462 I SurfaceFlinger: ------------+--------------+------+-----------+----------------------------+---------------------+------
09-02 17:27:18.200  3462  3462 I SurfaceFlinger:      Client |              | 0000 |  Unknown  |  -0.2   -0.2   -0.8   -0.8 |    0    0  720 1280 | animation background stackId=1#0
09-02 17:27:18.200  3462  3462 I SurfaceFlinger:      Client | 0x7ac4c24780 | 0002 | RGBA_8888 |   0.0    0.0  720.0 1280.0 |    0    0  720 1279 | com.example.batterymanager_utility/c[...]atterymanager_utility.MainActivity#0
09-02 17:27:18.200  3462  3462 I SurfaceFlinger:      Device | 0x7ac4c24d80 | 0000 | RGBA_8888 |   0.0    0.0  720.0   42.0 |    0    0  720   42 | StatusBar#0
09-02 17:27:18.200  3462  3462 I SurfaceFlinger: 
09-02 17:27:18.208  6534  6534 W ResourceType: ResTable_typeSpec entry count inconsistent: given 1869, previously 1868
09-02 17:27:18.209  6534  6534 W ResourceType: ResTable_typeSpec entry count inconsistent: given 100, previously 115
09-02 17:27:18.209  6534  6534 W ResourceType: ResTable_typeSpec entry count inconsistent: given 281, previously 1857
09-02 17:27:18.229  4349  4368 D SystemServicesProxy: updateOverviewLastStackActiveTimeAsync: newTime=1693559943942
09-02 17:27:18.230  3979  5968 D SecContentProvider: query(), uri = 17 selection = isSettingsChangesAllowed
09-02 17:27:18.231  3979  5968 D SecContentProvider: called from android.uid.systemui:10009
09-02 17:27:18.232  4349  4561 D SystemServicesProxy: updateOverviewLastStackActiveTimeAsync: done.
09-02 17:27:18.234  3979  5968 D PackageManager: getComponentMetadataForIconTray : com.example.batterymanager_utility.MainActivity does not exist in mServices
09-02 17:27:18.234  3979  5968 D PackageManager: getComponentMetadataForIconTray : com.example.batterymanager_utility.MainActivity does not exist in mProviders
09-02 17:27:18.234  3979  5968 D PackageManager: getComponentMetadataForIconTray : com.example.batterymanager_utility.MainActivity does not exist in mReceivers
09-02 17:27:18.235  4349  4368 D ApplicationPackageManager: updateItemMetaDataForFixedIconScale: package: com.example.batterymanager_utility
09-02 17:27:18.235  3979  5968 D PackageManager: getSelectedMetaData : packageName(com.example.batterymanager_utility) or Metadata strings {[Ljava.lang.String;@bed7eaf}
09-02 17:27:18.236  4349  4368 I ApplicationPackageManager: load=com.example.batterymanager_utility, bg=144-144, dr=189-189, forDefault=true, density=0
09-02 17:27:18.239  4349  4368 I ApplicationPackageManager: scaled rate=0.72, size=189, alpha=54, hold=102
09-02 17:27:18.239  4349  4368 D ApplicationPackageManager: iconScale: getScale(): 0.72 getAlpha(): 54
09-02 17:27:18.241  4349  4368 I ApplicationPackageManager: load=com.example.batterymanager_utility-contain, bg=112-112, dr=189-189
09-02 17:27:18.263  6534  6534 W ResourceType: For resource 0x7f0c0068, entry index(104) is beyond type entryCount(100)
09-02 17:27:18.325  3979  4111 D MdnieScenarioControlService:  packageName : com.opera.browser    className : com.opera.Opera
09-02 17:27:18.325  3979  4111 V MdnieScenarioControlService: setUIMode from UI function(3)
09-02 17:27:18.342  3979  5968 W StorageManager: getStorageLowBytes lowPercent : 5, lowBytes : 1260145254, maxLowBytes : 524288000
09-02 17:27:18.345  3979  5968 I chatty  : uid=1000(system) Binder:3979_12 identical 1 line
09-02 17:27:18.347  3979  5968 W StorageManager: getStorageLowBytes lowPercent : 5, lowBytes : 1260145254, maxLowBytes : 524288000
09-02 17:27:18.350  3979  4672 W StorageManager: getStorageLowBytes lowPercent : 5, lowBytes : 1260145254, maxLowBytes : 524288000
09-02 17:27:18.358  3979  3988 I zygote64: Background concurrent copying GC freed 284865(13MB) AllocSpace objects, 158(4MB) LOS objects, 38% free, 37MB/61MB, paused 443us total 174.891ms
09-02 17:27:18.368  3979 10224 D PackageManager: setEnabledSetting : userId = 0 packageName = com.opera.browser cmp = androidx.work.impl.background.systemjob.SystemJobService newState = 1 callingPackage = 10158/com.opera.browser
09-02 17:27:18.370  6534  6562 W zygote  : Skipping duplicate class check due to unrecognized classloader
09-02 17:27:18.386  3462  3462 I SurfaceFlinger: Display 0 HWC layers:
09-02 17:27:18.386  3462  3462 I SurfaceFlinger:     type    |    handle    | flag |  format   |   source crop (l,t,r,b)    |         frame       | name 
09-02 17:27:18.386  3462  3462 I SurfaceFlinger: ------------+--------------+------+-----------+----------------------------+---------------------+------
09-02 17:27:18.386  3462  3462 I SurfaceFlinger:      Client |              | 0000 |  Unknown  |  -0.2   -0.2   -0.8   -0.8 |    0    0  720 1280 | animation background stackId=1#0
09-02 17:27:18.386  3462  3462 I SurfaceFlinger:      Client | 0x7ac4c24780 | 0002 | RGBA_8888 |   0.0    0.0  720.0 1280.0 |   16   29  703 1251 | com.example.batterymanager_utility/c[...]atterymanager_utility.MainActivity#0
09-02 17:27:18.386  3462  3462 I SurfaceFlinger:      Device | 0x7abe68b7c0 | 0002 | RGBA_8888 |   0.0    0.0  720.0 1022.0 |   17  305  704 1280 | Splash Screen com.opera.browser#0
09-02 17:27:18.386  3462  3462 I SurfaceFlinger:      Device | 0x7ac4c24240 | 0000 | RGBA_8888 |   0.0    0.0  720.0   42.0 |    0    0  720   42 | StatusBar#0
09-02 17:27:18.386  3462  3462 I SurfaceFlinger: 
09-02 17:27:18.387  6534  6562 W ResourceType: ResTable_typeSpec entry count inconsistent: given 77, previously 79
09-02 17:27:18.388  6534  6562 W ResourceType: ResTable_typeSpec entry count inconsistent: given 3309, previously 3332
09-02 17:27:18.388  6534  6562 W ResourceType: ResTable_typeSpec entry count inconsistent: given 518, previously 4352
09-02 17:27:18.399  3979  5968 D SamsungAlarmManager: setExact Intent (T:0/F:1/AC:false) 20330830T172718 - CU:10158/CP:6534
09-02 17:27:18.454  3979  5968 D SamsungAlarmManager: setExact Intent (T:2/F:1/AC:false) 20230902T173518 - CU:10102/CP:7881
09-02 17:27:18.591  6534  6539 I zygote  : Do partial code cache collection, code=29KB, data=29KB
09-02 17:27:18.592  6534  6539 I zygote  : After code cache collection, code=29KB, data=29KB
09-02 17:27:18.592  6534  6539 I zygote  : Increasing code cache capacity to 128KB
09-02 17:27:18.596  3979  5968 D PackageManager: setEnabledSetting : userId = 0 packageName = com.opera.browser cmp = com.opera.android.vpn.app_widget.VpnProAppWidget newState = 1 callingPackage = 10158/com.opera.browser
09-02 17:27:18.603  3979  4672 D PackageManager: setEnabledSetting : userId = 0 packageName = com.opera.browser cmp = com.opera.android.vpn.quick_settings_tile.VpnProQuickSettingsTileService newState = 1 callingPackage = 10158/com.opera.browser
