--------- beginning of main
09-02 18:45:46.590 14031 14031 E adbd    : recv: OPEN 000264e7 00000000 0095:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 66 69 72 65 66 6F 78 2F 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 67 65 63 6B 6F 2E 42 72 6F 77 73 65 72 41 70 70 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 18:45:46.590 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n org.mozilla.firefox/org.mozilla.gecko.BrowserApp --activity-clear-task
09-02 18:45:46.933  3979  5965 D ActivityManager: package  org.mozilla.firefox, user - 0 is SDcard whitelisted
09-02 18:45:46.933  3979  5965 I ApplicationPolicy: isApplicationExternalStorageBlacklisted:org.mozilla.firefox user:0
09-02 18:45:46.933  3979  5965 D ApplicationPolicy: isApplicationExternalStorageBlacklisted: DO is not enabled on user 0. Allowed.
09-02 18:45:46.942  7948  7948 E Zygote  : isWhitelistProcess - Process is Whitelisted
09-02 18:45:46.943  7948  7948 E libpersona: scanKnoxPersonas
09-02 18:45:46.943  7948  7948 E libpersona: Couldn't open the File - /data/system/users/0/personalist.xml - No such file or directory
09-02 18:45:46.943  3979  5965 I ActivityManager: Start proc 7948:org.mozilla.firefox/u0a154 for activity org.mozilla.firefox/org.mozilla.gecko.BrowserApp
09-02 18:45:46.944  7948  7948 W SELinux : SELinux selinux_android_compute_policy_index : Policy Index[2],  Con:u:r:zygote:s0 RAM:SEPF_SM-J720F_8.0.0_0017, [-1 -1 -1 -1 0 1]
09-02 18:45:46.945  7948  7948 I SELinux : SELinux: seapp_context_lookup: seinfo=untrusted, level=s0:c512,c768, pkgname=org.mozilla.firefox 
09-02 18:45:46.959  7948  7948 D TimaKeyStoreProvider: TimaKeyStore is not enabled: cannot add TimaSignature Service and generateKeyPair Service
09-02 18:45:46.959  7948  7948 D ActivityThread: Added TimaKeyStore provider
09-02 18:45:46.961  3979  5965 I ActivityManager: DSS on for org.mozilla.firefox and scale is 1.0
09-02 18:45:46.969  3979  5965 D PersonaManagerService: Current focused persona service handled id set to : 0
09-02 18:45:46.969  3979  5965 D InputDispatcher: Focused application set to: xxxx
09-02 18:45:46.970  3979  5965 D InputDispatcher: Focus left window: 7887
09-02 18:45:46.972  7887  7887 D ViewRootImpl@110cd72[MainActivity]: MSG_WINDOW_FOCUS_CHANGED 0
09-02 18:45:46.972  3979  4238 D GameManagerService: handleForegroundChange(). pkgName: org.mozilla.firefox, clsName: org.mozilla.fenix.IntentReceiverActivity,FgActivityName:org.mozilla.firefox/org.mozilla.fenix.IntentReceiverActivity
09-02 18:45:46.972  3979  5965 D MARsPolicyManager: onPackageResumedFG pkgName = org.mozilla.firefox, userId = 0
09-02 18:45:46.972  3979  4238 D GameManagerService: sem_perfomance_mode: 3
09-02 18:45:46.972  3979  4238 D GameManagerService: notifyResumePause(). pkg: org.mozilla.firefox, type: 4, isMinimized: false, isTunableApp: false
09-02 18:45:46.972  3979  4238 D GameManagerService:   notifyResumePause(). unexpected mPrevNotiType: -1
09-02 18:45:46.977  3979  6899 D GamePkgDataHelper: getGamePkgDataIncServer(). org.mozilla.firefox
09-02 18:45:46.977  3979  6899 D GameManagerService: identifyGamePackage. org.mozilla.firefox
09-02 18:45:46.977  3979  6899 D GamePkgDataHelper: getGamePkgData(). org.mozilla.firefox
09-02 18:45:46.978  3979  6899 D GameManagerService: identifyGamePackage. org.mozilla.firefox
09-02 18:45:46.978  3979  6899 D GamePkgDataHelper: getGamePkgData(). org.mozilla.firefox
09-02 18:45:46.978  3979  6899 D GamePkgDataHelper: getSosPolicy(). org.mozilla.firefox
09-02 18:45:46.980  3979  6899 D GameManagerService: identifyGamePackage. org.mozilla.firefox
09-02 18:45:46.980  3979  6899 D GamePkgDataHelper: getGamePkgData(). org.mozilla.firefox
09-02 18:45:46.981  3979  6899 D GameManagerService: identifyGamePackage. org.mozilla.firefox
09-02 18:45:46.981  3979  6899 D GamePkgDataHelper: getGamePkgData(). org.mozilla.firefox
09-02 18:45:46.985  7948  7948 I zygote64: no shared libraies, dex_files: 1
09-02 18:45:47.019  7948  7948 I FirebaseApp: Device unlocked: initializing all Firebase APIs for app [DEFAULT]
09-02 18:45:47.030  7881  7872 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:47.030  7881  7872 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:47.030  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 2c44856a-e7c2-487f-8925-0eff02d256ac (response type 1): (null)
09-02 18:45:47.030  7881  7872 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:47.030  7881  7872 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:47.030  7881  7872 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:47.030  7881  7872 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:47.030  7881  7872 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:47.031  7881  7872 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:47.031  7881  7872 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:47.032  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 2c44856a-e7c2-487f-8925-0eff02d256ac contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7b4c700 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7b4c700 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:47.037  7948  7948 I FirebaseInitProvider: FirebaseApp initialization successful
09-02 18:45:47.043  7881  7871 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:47.043  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 58e1c84a-a62e-48e8-a798-42df034d3d7e (response type 1): (null)
09-02 18:45:47.044  7881  7871 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:47.044  7881  7871 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:47.045  7881  7871 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:47.045  7881  7871 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:47.045  7881  7871 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:47.046  7881  7871 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:47.046  7881  7871 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:47.046  7881  7871 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:47.051  4349  4372 D SystemServicesProxy: updateOverviewLastStackActiveTimeAsync: newTime=1693559943942
09-02 18:45:47.051  3979  5977 D SecContentProvider: query(), uri = 17 selection = isSettingsChangesAllowed
09-02 18:45:47.052  3979  5977 D SecContentProvider: called from android.uid.systemui:10009
09-02 18:45:47.053  4349  4561 D SystemServicesProxy: updateOverviewLastStackActiveTimeAsync: done.
09-02 18:45:47.054  3979  9878 D PackageManager: getComponentMetadataForIconTray : com.example.batterymanager_utility.MainActivity does not exist in mServices
09-02 18:45:47.054  3979  9878 D PackageManager: getComponentMetadataForIconTray : com.example.batterymanager_utility.MainActivity does not exist in mProviders
09-02 18:45:47.054  3979  9878 D PackageManager: getComponentMetadataForIconTray : com.example.batterymanager_utility.MainActivity does not exist in mReceivers
09-02 18:45:47.055  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 58e1c84a-a62e-48e8-a798-42df034d3d7e contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8fd00 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8fd00 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:47.055  4349  4372 D ApplicationPackageManager: updateItemMetaDataForFixedIconScale: package: com.example.batterymanager_utility
09-02 18:45:47.055  3979  5977 D PackageManager: getSelectedMetaData : packageName(com.example.batterymanager_utility) or Metadata strings {[Ljava.lang.String;@a8461e1}
09-02 18:45:47.056  4349  4372 I ApplicationPackageManager: load=com.example.batterymanager_utility, bg=144-144, dr=189-189, forDefault=true, density=0
09-02 18:45:47.056  3979  9878 W StorageManager: getStorageLowBytes lowPercent : 5, lowBytes : 1260145254, maxLowBytes : 524288000
09-02 18:45:47.059  4349  4372 I ApplicationPackageManager: scaled rate=0.72, size=189, alpha=54, hold=102
09-02 18:45:47.060  4349  4372 D ApplicationPackageManager: iconScale: getScale(): 0.72 getAlpha(): 54
09-02 18:45:47.062  4349  4372 I ApplicationPackageManager: load=com.example.batterymanager_utility-contain, bg=112-112, dr=189-189
09-02 18:45:47.108  7948  7953 I zygote64: Do partial code cache collection, code=29KB, data=25KB
09-02 18:45:47.108  7948  7953 I zygote64: After code cache collection, code=29KB, data=25KB
09-02 18:45:47.108  7948  7953 I zygote64: Increasing code cache capacity to 128KB
09-02 18:45:47.108  3979  4111 D MdnieScenarioControlService:  packageName : org.mozilla.firefox    className : org.mozilla.gecko.BrowserApp
09-02 18:45:47.108  3979  4111 V MdnieScenarioControlService: setUIMode from UI function(3)
09-02 18:45:47.128  7948  7948 I rc_log_ffi::ios: rc_log adapter initialized!
09-02 18:45:47.136  7887  7977 D ProfileInstaller: Installing profile for com.example.batterymanager_utility
09-02 18:45:47.181  7948  7953 I zygote64: Do partial code cache collection, code=60KB, data=47KB
09-02 18:45:47.181  7948  7953 I zygote64: After code cache collection, code=58KB, data=46KB
09-02 18:45:47.181  7948  7953 I zygote64: Increasing code cache capacity to 256KB
09-02 18:45:47.240  7948  7979 I nimbus::nimbus_client: updating experiment list
09-02 18:45:47.241  7948  7979 I nimbus::persistence: Already at version 2, no upgrade needed
09-02 18:45:47.241  7948  7979 I nimbus::nimbus_client: [Nimbus] Retrieved date from Context: 2023-09-01 07:59:54 UTC
09-02 18:45:47.242  7948  7979 I nimbus::nimbus_client: [Nimbus] Installation Date: 2023-09-01 07:59:54 UTC
09-02 18:45:47.242  7948  7979 I nimbus::nimbus_client: [Nimbus] Update Date: 2023-09-02 06:19:16.138897683 UTC
09-02 18:45:47.242  7948  7979 I nimbus::nimbus_client: [Nimbus] Days since install: 1
09-02 18:45:47.242  7948  7979 I nimbus::nimbus_client: [Nimbus] Days since update: 0
09-02 18:45:47.255  7948  7979 I zygote64: Deoptimizing java.lang.Object com.sun.jna.Function.invoke(java.lang.reflect.Method, java.lang.Class[], java.lang.Class, java.lang.Object[], java.util.Map) due to class hierarchy analysis
09-02 18:45:47.292  7948  7982 I GeckoThread: preparing to run Gecko
09-02 18:45:47.297  3979  9878 W StorageManager: getStorageLowBytes lowPercent : 5, lowBytes : 1260145254, maxLowBytes : 524288000
09-02 18:45:47.299  3979  9878 W StorageManager: getStorageLowBytes lowPercent : 5, lowBytes : 1260145254, maxLowBytes : 524288000
09-02 18:45:47.301  3979  5977 W StorageManager: getStorageLowBytes lowPercent : 5, lowBytes : 1260145254, maxLowBytes : 524288000
09-02 18:45:47.313  7948  7982 I GeckoLoader: Library base=/data/app/org.mozilla.firefox-qXEeZwQeSKU-v4RxzjCTZA==/lib/arm64
09-02 18:45:47.318  7948  7984 I libglean_ffi: glean_core::core: Creating new Glean v53.1.0
09-02 18:45:47.319  7948  7984 I libglean_ffi: glean_core::database: Database initialized
09-02 18:45:47.319  7948  7982 W Settings: Setting animator_duration_scale has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only global URI.
09-02 18:45:47.322  7948  7984 I libglean_ffi: glean_core: Glean initialized
09-02 18:45:47.323  7948  7982 I GeckoLoader: Library base=/data/app/org.mozilla.firefox-qXEeZwQeSKU-v4RxzjCTZA==/lib/arm64
09-02 18:45:47.324  7948  7984 I libglean_ffi: glean_core::event_database: Loading events for events
09-02 18:45:47.327  7948  7984 I libglean_ffi: glean_core::event_database: Loading events for background-update
09-02 18:45:47.328  7948  7982 E GeckoLibLoad: Load sqlite start
09-02 18:45:47.330  7948  7982 E GeckoLibLoad: Load sqlite done
09-02 18:45:47.330  7948  7982 I GeckoLoader: Library base=/data/app/org.mozilla.firefox-qXEeZwQeSKU-v4RxzjCTZA==/lib/arm64
09-02 18:45:47.330  7948  7982 E GeckoLibLoad: Load nss start
09-02 18:45:47.330  7948  7982 E GeckoLibLoad: Load nss done
09-02 18:45:47.331  7948  7982 I GeckoLoader: Library base=/data/app/org.mozilla.firefox-qXEeZwQeSKU-v4RxzjCTZA==/lib/arm64
09-02 18:45:47.331  7948  7982 E GeckoLibLoad: Loaded libs in 0.771347ms total, 0ms(0ms) user, 0ms(0ms) system, 0(0) faults
09-02 18:45:47.333  7948  7982 W GeckoThread: zerdatime 118328765 - runGecko
09-02 18:45:47.339  7948  7984 I libglean_ffi: glean_core::ping: Collecting events
09-02 18:45:47.344  3614  3927 D DnsProxyListener: DNSDBG::dns by name af 2
09-02 18:45:47.350  7948  7984 I libglean_ffi: glean_core::upload::directory: Processing ping at: /data/user/0/org.mozilla.firefox/glean_data/pending_pings/6ad52e9a-4379-4db0-a0db-323ac9241992
09-02 18:45:47.351  7948  7984 I libglean_ffi: glean_core::metrics::ping: The ping 'events' was submitted and will be sent as soon as possible
09-02 18:45:47.355  7948  7953 I zygote64: Do full code cache collection, code=122KB, data=79KB
09-02 18:45:47.356  7948  7953 I zygote64: After code cache collection, code=88KB, data=51KB
09-02 18:45:47.362  3979  9878 D PackageManager: setEnabledSetting : userId = 0 packageName = org.mozilla.firefox cmp = androidx.work.impl.background.systemjob.SystemJobService newState = 1 callingPackage = 10154/org.mozilla.firefox
09-02 18:45:47.371  7948  7982 I Gecko:DumpUtils: Fifo watcher disabled via pref.
09-02 18:45:47.380  7948  7984 I glean/MetricsPingSched: The 'metrics' ping was already sent today, 1693673147377.
09-02 18:45:47.384  7948  7984 I libglean_ffi: glean_core::ping: Collecting baseline
09-02 18:45:47.396  7948  7984 I libglean_ffi: glean_core::upload::directory: Processing ping at: /data/user/0/org.mozilla.firefox/glean_data/pending_pings/f3a49a93-2652-4bf5-9efe-f8094848d392
09-02 18:45:47.397  7948  7984 I libglean_ffi: glean_core::metrics::ping: The ping 'baseline' was submitted and will be sent as soon as possible
09-02 18:45:47.418  7948  7981 I libglean_ffi: glean_core::ping: Collecting pageload
09-02 18:45:47.419  7948  7981 I libglean_ffi: glean_core::ping: Storage for pageload empty. Bailing out.
09-02 18:45:47.420  7948  7981 I libglean_ffi: glean_core::metrics::ping: No content for ping 'pageload', therefore no ping queued.
09-02 18:45:47.425  3979  5977 D ConnectivityService: filterNetworkStateForUid() uid: 10025 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:47.443  3979  5977 D StorageManagerService: getExternalStorageMountMode : 1
09-02 18:45:47.444  3979  5977 D StorageManagerService: getExternalStorageMountMode : 3
09-02 18:45:47.444  3979  5977 D StorageManagerService: getExternalStorageMountMode : final mountMode=1, uid : 10154, packageName : org.mozilla.firefox
09-02 18:45:47.444  3979  5977 I ApplicationPolicy: isApplicationExternalStorageWhitelisted:org.mozilla.firefox user:0
09-02 18:45:47.445  3979  5977 D ApplicationPolicy: isApplicationExternalStorageWhitelisted: DO is not enabled on user 0. Allowed.
09-02 18:45:47.445  3979  5977 D ActivityManager: package  org.mozilla.firefox, user - 0 is SDcard whitelisted
09-02 18:45:47.445  3979  5977 I ApplicationPolicy: isApplicationExternalStorageBlacklisted:org.mozilla.firefox user:0
09-02 18:45:47.445  3979  5977 D ApplicationPolicy: isApplicationExternalStorageBlacklisted: DO is not enabled on user 0. Allowed.
09-02 18:45:47.461  3979  5977 I ActivityManager: Start proc 8014:org.mozilla.firefox:tab26/u0a154 for service org.mozilla.firefox/org.mozilla.gecko.process.GeckoChildProcessServices$tab26
09-02 18:45:47.465  8014  8014 E Zygote  : isWhitelistProcess - Process is Whitelisted
09-02 18:45:47.467  8014  8014 E libpersona: scanKnoxPersonas
09-02 18:45:47.467  8014  8014 E libpersona: Couldn't open the File - /data/system/users/0/personalist.xml - No such file or directory
09-02 18:45:47.469  8014  8014 W SELinux : SELinux selinux_android_compute_policy_index : Policy Index[2],  Con:u:r:zygote:s0 RAM:SEPF_SM-J720F_8.0.0_0017, [-1 -1 -1 -1 0 1]
09-02 18:45:47.470  8014  8014 I SELinux : SELinux: seapp_context_lookup: seinfo=untrusted, level=s0:c512,c768, pkgname=org.mozilla.firefox:tab26 
